customer_id,name,email,dob,signup_date,location_id
C0228,Jorge Howe,ejohnson@example.org,1965-07-01,1978-05-06,L013
C0229,Natasha Coleman,ucontreras@example.net,1968-02-19,1982-03-09,L013
C0230,Gerald Phillips,zachary66@example.net,1985-04-27,1987-11-04,L085
C0231,Victoria Pham,chambersrobert@example.net,2002-07-28,2017-07-22,L056
C0232,Robert Wells,tracy73@example.com,1992-11-28,2015-03-26,L046
C0233,Mr. Joseph Krueger,stephen47@example.org,2005-03-22,2022-07-02,L055
C0234,Jacqueline Conley,johnporter@example.net,2007-02-04,2011-08-19,L053
C0235,Matthew Khan,nicholas68@example.org,1984-06-16,2011-08-10,L060
C0236,Michael Leon,walkerthomas@example.net,1998-01-22,2023-10-04,L094
C0237,Tiffany Diaz,christinagarrett@example.com,2000-06-06,2006-04-04,L007
C0238,Nancy Lewis,sara56@example.org,1986-05-27,2022-05-06,L087
C0239,Larry Gordon,jacqueline96@example.org,1990-01-05,1998-07-19,L084
C0240,Ana Williams,cunninghamjennifer@example.org,1960-06-07,2023-01-03,L083
C0241,James Buckley,melissahicks@example.com,1996-02-27,2008-02-18,L013
C0242,Raymond Bryant,qtaylor@example.net,1980-09-28,2017-10-11,L008
C0243,David Cantrell,raymond46@example.org,1961-05-09,2010-04-03,L052
C0244,Margaret White,tonijohnson@example.com,1971-08-11,2009-03-29,L094
C0245,Martin Baird,riosdonna@example.org,1982-05-08,2021-11-23,L044
C0246,Mr. Sean Green,stacey31@example.net,1962-05-25,2017-05-27,L014
C0247,Tina Thomas,dillondawn@example.net,1987-05-18,2006-11-15,L032
C0248,Troy Schultz,stephenbennett@example.net,1960-09-10,1961-06-25,L025
C0249,Nathan Rios,lbaker@example.com,1995-12-05,2002-03-15,L025
C0250,Diana Foster,gary05@example.com,1970-05-19,2024-01-06,L069
C0251,Mike May,wallsjason@example.org,1979-03-27,1995-08-18,L058
C0252,Roger Smith,stephanie21@example.org,2000-07-04,2018-06-13,L018
C0253,Justin Henry,atkinsbarbara@example.net,1957-11-26,1994-02-04,L055
C0254,Katherine Jacobson,sabrina56@example.org,1977-11-24,1998-11-22,L024
C0255,Caitlin Thomas MD,qwilson@example.net,1967-10-16,1999-06-30,L036
C0256,Makayla Bowen,patrick84@example.com,1958-03-26,1985-08-15,L060
C0257,Gerald Brady,pattersoncathy@example.org,1992-06-15,2009-10-29,L032
C0258,Christopher Carey,rjones@example.net,1992-06-17,2020-05-26,L010
C0259,Nicole Lester,matthewmartin@example.org,2001-03-22,2005-04-14,L057
C0260,Matthew Booker,ufowler@example.com,1957-12-26,1959-05-20,L071
C0261,Sally Brown,epatterson@example.net,1956-12-23,1966-04-21,L013
C0262,Lisa Gallegos,millerrobyn@example.org,1987-09-06,2008-11-16,L007
C0263,Kathleen Taylor,wlawson@example.org,1954-12-21,1975-01-05,L084
C0264,Taylor Cain,ballerika@example.com,1966-09-04,1980-11-19,L070
C0265,Melissa Robbins,stephenstokes@example.com,1961-03-15,2024-07-12,L002
C0266,Joe Coleman,amanda76@example.net,2003-09-16,2007-01-06,L012
C0267,John Green,smithsharon@example.com,1990-08-14,2011-06-23,L097
C0268,Jessica Hughes,connor13@example.org,2000-08-01,2001-06-03,L031
C0269,Logan Baker,christybuchanan@example.com,1968-05-03,1968-05-17,L022
C0270,Christine Blackwell,cmiller@example.org,1971-03-02,1988-09-25,L053
C0271,Mrs. Mary Walker MD,fhoover@example.com,1990-09-11,1990-10-23,L063
C0272,Jeffery Williams,stoutlaura@example.net,1956-03-30,1965-08-12,L062
C0273,Taylor Hernandez,mariehicks@example.net,1995-09-21,2010-10-04,L028
C0274,Michael Anderson,david56@example.com,1992-08-10,2008-11-16,L052
C0275,Christina Peters,judithdavid@example.org,1969-01-20,2013-04-09,L008
C0276,Kristen James,summersjason@example.com,1984-09-18,1996-02-03,L022
C0277,Tina Nguyen,james24@example.org,1996-05-06,2000-11-13,L049
C0278,Lisa Moyer,curtistanner@example.org,2002-04-30,2021-12-12,L001
C0279,Debra Thomas,sandraholloway@example.org,1979-03-06,2022-08-07,L050
C0280,Steven Parks,mccoyshannon@example.net,1954-06-24,2005-12-22,L034
C0281,John Klein,martinezlarry@example.org,1989-10-23,2012-03-02,L059
C0282,Timothy Bender,brittany14@example.net,1973-10-22,1996-10-31,L037
C0283,Jessica Skinner,alvin64@example.com,1980-03-08,2000-04-16,L055
C0284,Nancy Hall,patriciafranklin@example.org,1972-12-06,1979-12-24,L090
C0285,Thomas Carr,michael20@example.net,1969-09-02,1987-11-29,L094
C0286,Jessica Warren,alexandra14@example.net,1980-01-01,2008-07-12,L072
C0287,Marcus Lozano,cgibson@example.com,1979-09-20,1997-09-03,L085
C0288,Kimberly Davis,jenningsmegan@example.org,1994-09-02,2016-01-30,L092
C0289,Patrick Bass,courtneykirk@example.net,1995-08-23,2024-02-28,L063
C0290,Mrs. Megan Mcmillan,zsmith@example.org,1970-11-23,1974-01-02,L020
C0291,Elizabeth Johnson,andrew50@example.org,1955-05-16,1994-11-20,L025
C0292,Jade Horton,adamowens@example.net,1998-03-08,2009-12-09,L038
C0293,Christy Smith,brownjennifer@example.net,1986-06-10,2020-03-26,L028
C0294,James Nunez,kimberly71@example.net,1981-12-27,2008-01-24,L008
C0295,William Davis,wcrawford@example.net,1972-03-05,2022-03-17,L075
C0296,Anthony Johnson,kyoung@example.org,1968-04-07,1989-11-26,L095
C0297,Jessica Trujillo,hjuarez@example.org,2001-10-01,2005-06-27,L070
C0298,Mrs. Laura Nguyen,jimmy85@example.org,1968-01-03,1969-11-27,L008
C0299,Katherine Fernandez,ofloyd@example.net,1998-01-09,2022-09-03,L096
C0300,David Huang,whitney92@example.net,1974-12-26,2024-04-15,L041
C0301,Jessica Walker,gainesjoy@example.com,1961-08-16,1961-11-27,L008
C0302,Melinda Padilla,hilldaniel@example.net,1979-07-27,1995-07-03,L007
C0303,Mark Trevino,richardwilliams@example.com,1974-04-28,1999-05-09,L075
C0304,Andrea Lynn,aliciaavila@example.net,1959-11-30,2017-12-15,L062
C0305,Randy Mills,ewingamanda@example.com,2006-11-13,2014-04-29,L065
C0306,Breanna Perry,williamhenderson@example.org,1991-05-23,2001-11-27,L068
C0307,Catherine Smith,qvalenzuela@example.net,1994-06-18,2007-09-30,L021
C0308,Sandra Perez,stephenmiller@example.com,1957-05-06,1963-05-07,L008
C0309,David Campos,pnorton@example.com,1986-10-31,1994-10-28,L066
C0310,Cynthia Hansen,samanthasimpson@example.net,1972-09-07,2024-12-14,L011
C0311,Robin Burgess,jeffery51@example.com,1965-07-07,2019-01-23,L024
C0312,George Martin,ejoseph@example.net,2005-08-30,2021-09-27,L009
C0313,Heather Watson DDS,bnixon@example.com,2000-03-30,2003-09-04,L077
C0314,Joseph Johnson,williamanderson@example.org,2000-02-12,2010-01-05,L009
C0315,Norma Lee,david78@example.net,1995-11-22,2008-09-26,L087
C0316,Terry Duarte,joysandoval@example.net,1982-10-20,2003-12-12,L031
C0317,Jill Green,xfoster@example.com,1984-07-18,1997-07-25,L052
C0318,David Hobbs,charlesnguyen@example.com,1973-12-21,1997-12-07,L016
C0319,Jennifer White,bestregina@example.org,1992-01-31,2016-07-02,L073
C0320,Mark Barrett,hannahjackson@example.org,1966-01-20,1995-08-05,L032
C0321,Joseph Phillips,waresharon@example.org,2004-02-21,2004-06-04,L075
C0322,Brandon Johnston,michaelmartinez@example.org,1995-06-19,2007-08-31,L077
C0323,Heather Alvarado,uporter@example.org,2002-09-09,2018-10-18,L006
C0324,Jon Hickman,thomasstevens@example.org,1976-11-21,2023-04-15,L080
C0325,Sara Barajas,zdean@example.org,2000-02-04,2008-07-07,L011
C0326,Nicholas Nelson,hannah33@example.com,2003-07-28,2010-05-16,L054
C0327,Tiffany Horton,ashleyingram@example.org,1996-12-31,2011-04-03,L085
C0328,Noah Morse,johnhenderson@example.org,2005-01-13,2006-11-10,L075
C0329,Daniel Solis,scottomar@example.org,1994-09-28,2014-06-19,L073
C0330,James Carrillo,njohnson@example.org,1973-06-20,1979-08-26,L067
C0331,Ross Vasquez,msmith@example.net,1977-07-01,1998-10-01,L041
C0332,Sonia Smith,robertthompson@example.net,1965-10-26,1986-06-04,L034
C0333,Jessica Thomas,pbryant@example.net,1975-12-09,1996-10-20,L027
C0334,Chase Harris,maria48@example.org,1955-12-10,2012-05-02,L086
C0335,Kim Cook,brenda11@example.net,1981-06-13,2006-09-24,L092
C0336,Keith Carroll,svega@example.net,1989-07-10,1994-06-23,L041
C0337,Darlene Harris,rbarnes@example.org,1999-09-08,2003-08-31,L031
C0338,Stephen Reed,jeffreyjones@example.com,1997-09-09,2016-12-05,L034
C0339,James Alexander,jenniferrobinson@example.org,1972-04-24,1994-01-09,L051
C0340,Janice Mitchell,amykrause@example.org,1959-10-19,2003-11-05,L017
C0341,Shaun Johnson,rogersdeborah@example.org,1975-04-07,1980-01-21,L086
C0342,Brent Cooley,theresa95@example.com,1984-07-26,1985-07-12,L083
C0343,Tyler Ali,nathan82@example.org,1993-01-05,2001-12-26,L039
C0344,John Martin,csmith@example.com,1963-01-09,2000-08-23,L059
C0345,Martha Stafford,jennamcpherson@example.com,1983-08-23,1988-10-04,L041
C0346,Jacqueline Sanchez,,1969-11-19,2010-10-25,
C0347,Anna Miller,uhenderson@example.net,1958-11-18,2010-03-30,L010
C0348,Kristina Valdez,gordontroy@example.org,1996-06-23,2019-04-19,L002
C0349,Nina Gray,ehudson@example.org,1992-08-18,1994-10-21,L059
C0350,Alan Lowery,matthewreyes@example.net,1990-07-19,2003-01-06,L080
C0351,Alicia Davis,mcclainlisa@example.com,1997-06-02,2024-02-12,L073
C0352,James Johnson DVM,woodcarol@example.org,1988-02-06,2012-12-02,L013
C0353,Steven Pruitt,bwebster@example.org,2003-12-19,2010-05-25,L010
C0354,Justin Lewis,edwardsana@example.net,1993-12-21,2011-09-14,L069
C0355,Isaac Harris,renee09@example.net,2006-07-27,2018-03-10,L028
C0356,Emily Ward,uhall@example.com,1979-04-18,2003-03-30,L065
C0357,Nichole Hart,prodriguez@example.com,1972-09-23,1986-11-24,L034
